user_id,isbn,book_rating
276725,034545104X,0
276726,0155061224,5
276727,0446520802,0
276729,052165615X,3
276729,0521795028,6
276733,2080674722,0
276744,038550120X,7
276746,0425115801,0
276746,0449006522,0
276746,0553561618,0
276746,055356451X,0
276746,0786013990,0
276746,0786014512,0
276747,0060517794,9
276747,0451192001,0
276747,0609801279,0
276747,0671537458,9
276747,0679776818,8
276747,0943066433,7
276747,1570231028,0
276747,1885408226,7
276748,0747558167,6
276751,3596218098,8
276754,0684867621,8
276755,0451166892,5
276762,034544003X,0
276762,0380000059,0
276762,0380711524,5
276762,0451167317,0
276762,0451454952,0
276762,0843920262,0
276762,3404122879,0
276762,3404182928,0
276762,3426690179,0
276762,3442424216,0
276762,3442425573,0
276762,3453092007,8
276762,3453176944,0
276762,3453185137,0
276762,3453877241,0
276762,3517017442,0
276762,3596125006,0
276772,0140279091,0
276772,0553572369,7
276772,0571058086,0
276772,3499230933,10
276772,3596151465,10
276774,0099543818,0
276774,3404147723,0
276774,3423111321,0
276774,3442136644,9
276774,3492232000,0
276780,8434811634,0
276786,842333533X,0
276786,8433914456,0
276786,8437606322,8
276786,8445072919,0
276786,847765011X,0
276786,8478442588,6
276788,0345443683,8
276788,043935806X,7
276788,055310666X,10
276796,0330332775,5
276798,0006379702,5
276798,3423084049,0
276798,3442131340,7
276798,3446202102,0
276798,3453073398,0
276798,3453115783,0
276798,3499134004,0
276798,349915398X,0
276798,3548603203,6
276798,3764501383,0
276798,3791535889,0
276800,0061054143,0
276800,0061054151,0
276800,0061056774,0
276800,0671021346,0
276800,0671024108,0
276800,1562827898,7
276804,0064405176,0
276804,0439104769,0
276804,0440498058,8
276808,0395547032,10
276811,0440414121,10
276813,8401328322,0
276813,8401461189,0
276813,8401471796,0
276813,8423996565,8
276813,8424130081,0
276813,8426449476,8
276813,8426449573,6
276813,8478885218,6
276813,8478886044,8
276813,8495618052,0
276814,0091830893,8
276814,0812571029,9
276817,0671749609,0
276820,0140062718,0
276822,0060096195,10
276822,0141310340,9
276822,0142302198,10
276822,0156006065,9
276822,0375821813,9
276822,038076041X,10
